NAICS  Code,Kind of Business,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","422,066","418,520","483,667","466,647","495,849","483,003","476,520","491,564","470,724","477,120","499,276","559,854","5,744,810",
,Retail sales and food services excl motor vehicle and parts,"337,831","330,086","378,484","370,315","391,280","381,429","375,379","387,947","371,946","380,941","405,752","461,053","4,572,443",
,Retail sales and food services excl gasoline stations,"387,322","385,458","445,893","428,539","455,987","443,933","437,733","451,416","430,543","436,672","460,496","521,355","5,285,347",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"303,087","297,024","340,710","332,207","351,418","342,359","336,592","347,799","331,765","340,493","366,972","422,554","4,112,980",
,"Retail sales, total","369,241","365,865","423,634","408,175","435,790","424,415","418,069","433,057","413,638","418,956","443,586","498,725","5,053,151",
,"Retail sales, total (excl. motor vehicle and parts dealers)","285,006","277,431","318,451","311,843","331,221","322,841","316,928","329,440","314,860","322,777","350,062","399,924","3,880,784",
,GAFO(1),"89,292","89,940","102,933","100,385","103,937","102,889","102,344","108,444","100,469","102,840","119,088","149,902","1,272,463",
441,Motor vehicle and parts dealers,"84,235","88,434","105,183","96,332","104,569","101,574","101,141","103,617","98,778","96,179","93,524","98,801","1,172,367",
"4411,4412",Automobile and other motor vehicle dealers,"77,407","81,691","97,051","88,867","96,665","93,660","93,470","95,597","91,196","88,478","86,006","91,638","1,081,726",
4411,Automobile dealers,"73,743","76,778","90,030","81,286","88,544","85,345","86,294","88,857","85,364","83,311","81,569","87,067","1,008,188",
44111,New car dealers,"65,246","67,180","79,075","72,049","78,818","75,567","76,767","79,225","76,099","74,172","72,975","78,841","896,014",
44112,Used car dealers,"8,497","9,598","10,955","9,237","9,726","9,778","9,527","9,632","9,265","9,139","8,594","8,226","112,174",
4413,"Automotive parts, acc., and tire stores","6,828","6,743","8,132","7,465","7,904","7,914","7,671","8,020","7,582","7,701","7,518","7,163","90,641",
"442,443","Furniture, home furn, electronics, and appliance stores","15,732","15,367","17,594","15,661","17,008","17,029","16,742","17,795","17,251","17,086","20,873","23,467","211,605",
442,Furniture and home furnishings stores,"8,255","8,222","9,626","8,562","9,394","9,334","9,207","9,825","9,471","9,441","10,487","11,211","113,035",
4421,Furniture stores,"4,518","4,625","5,319","4,612","4,992","4,937","4,956","5,078","5,041","4,909","5,312","5,255","59,554",
4422,Home furnishings stores,"3,737","3,597","4,307","3,950","4,402","4,397","4,251","4,747","4,430","4,532","5,175","5,956","53,481",
44221,Floor covering stores,"1,407","1,455",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,"2,179","1,979","2,316","2,117","2,401","2,308","2,317","2,560","2,294","2,330","3,032","3,982","29,815",
443,Electronics and appliance stores,"7,477","7,145","7,968","7,099","7,614","7,695","7,535","7,970","7,780","7,645","10,386","12,256","98,570",
443141,Household appliance stores,"1,270","1,258","1,456","1,317","1,416","1,411","1,361","1,353","1,351","1,326","1,474","1,398","16,391",
443142,Electronics stores,"6,207","5,887","6,512","5,782","6,198","6,284","6,174","6,617","6,429","6,319","8,912","10,858","82,179",
444,Building mat. and garden equip. and supplies dealers,"23,330","23,486","30,536","32,663","37,261","35,011","31,485","31,789","30,404","31,151","30,562","27,944","365,622",
4441,Building mat. and supplies dealers,"21,078","20,814","26,299","27,069","31,058","30,153","27,719","28,328","27,273","27,833","27,146","24,463","319,233",
44412,Paint and wallpaper stores,759,786,996,953,"1,103","1,138","1,066","1,147","1,039","1,063",918,809,"11,777",
44413,Hardware stores,"1,714","1,630","2,044","2,121","2,345","2,298","2,109","2,161","2,078","2,178","2,075","2,147","24,900",
445,Food and beverage stores,"57,469","54,181","59,912","59,282","61,805","60,257","61,323","61,122","60,001","60,471","61,783","67,531","725,137",
