NAICS  Code,Kind of Business,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","402,018","415,183","461,190","451,435","470,425","465,058","462,195","472,032","448,870","453,318","467,956","540,506","5,510,186",
,Retail sales and food services excl motor vehicle and parts,"321,918","325,875","360,936","354,597","372,343","367,358","363,234","368,725","354,121","361,285","378,590","440,590","4,369,572",
,Retail sales and food services excl gasoline stations,"371,942","387,088","428,626","417,217","432,781","426,197","423,632","434,447","412,102","415,549","433,273","504,540","5,087,394",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"291,842","297,780","328,372","320,379","334,699","328,497","324,671","331,140","317,353","323,516","343,907","404,624","3,946,780",
,"Retail sales, total","351,931","363,688","405,312","395,099","413,410","410,449","406,195","416,863","394,600","397,627","414,703","483,081","4,852,958",
,"Retail sales, total (excl. motor vehicle and parts dealers)","271,831","274,380","305,058","298,261","315,328","312,749","307,234","313,556","299,851","305,594","325,337","383,165","3,712,344",
,GAFO(1),"89,309","94,293","103,725","98,155","103,414","101,586","102,328","106,812","98,002","101,303","114,320","148,366","1,261,613",
441,Motor vehicle and parts dealers,"80,100","89,308","100,254","96,838","98,082","97,700","98,961","103,307","94,749","92,033","89,366","99,916","1,140,614",
"4411,4412",Automobile and other motor vehicle dealers,"73,316","82,156","92,251","89,337","90,471","89,730","91,401","95,297","87,251","84,441","82,093","92,446","1,050,190",
4411,Automobile dealers,"69,691","77,505","85,501","82,261","83,174","82,217","84,725","88,968","81,681","79,620","77,891","88,267","981,501",
44111,New car dealers,"62,053","67,236","75,554","73,168","74,684","73,321","75,982","79,681","73,260","70,828","70,027","79,802","875,596",
44112,Used car dealers,"7,638","10,269","9,947","9,093","8,490","8,896","8,743","9,287","8,421","8,792","7,864","8,465","105,905",
4413,"Automotive parts, acc., and tire stores","6,784","7,152","8,003","7,501","7,611","7,970","7,560","8,010","7,498","7,592","7,273","7,470","90,424",
"442,443","Furniture, home furn, electronics, and appliance stores","15,770","16,209","17,191","15,659","16,555","16,839","16,964","17,828","17,325","16,475","19,659","22,973","209,447",
442,Furniture and home furnishings stores,"8,175","8,376","9,258","8,596","8,988","9,095","9,157","9,539","9,498","9,013","9,903","10,806","110,404",
4421,Furniture stores,"4,514","4,727","5,094","4,619","4,890","4,918","4,913","5,015","5,163","4,779","5,145","5,159","58,936",
4422,Home furnishings stores,"3,661","3,649","4,164","3,977","4,098","4,177","4,244","4,524","4,335","4,234","4,758","5,647","51,468",
44221,Floor covering stores,"1,405","1,450","1,720","1,670","1,694","1,821","1,746","1,875","1,805","1,737","1,668","1,628","20,219",
442299,All other home furnishings stores,"2,125","2,068","2,275","2,131","2,257","2,201","2,336","2,501","2,353","2,329","2,934","3,868","29,378",
443,Electronics and appliance stores,"7,595","7,833","7,933","7,063","7,567","7,744","7,807","8,289","7,827","7,462","9,756","12,167","99,043",
443141,Household appliance stores,"1,229","1,328","1,389","1,311","1,436","1,516","1,469","1,474","1,484","1,363","1,607","1,593","17,199",
443142,Electronics stores,"6,366","6,505","6,544","5,752","6,131","6,228","6,338","6,815","6,343","6,099","8,149","10,574","81,844",
444,Building mat. and garden equip. and supplies dealers,"21,968","23,157","29,911","32,399","34,650","34,154","30,050","29,849","28,761","28,481","28,480","26,837","348,697",
4441,Building mat. and supplies dealers,"19,640","20,560","25,446","26,858","28,797","29,028","26,698","26,738","25,708","25,368","25,523","23,610","303,974",
44412,Paint and wallpaper stores,691,770,949,961,999,"1,108","1,016","1,082","1,015",960,860,765,"11,176",
44413,Hardware stores,"1,686","1,698","2,053","2,088","2,193","2,138","1,998","2,027","1,876","1,979","1,849","2,023","23,608",
445,Food and beverage stores,"56,831","54,005","57,911","56,083","59,028","58,294","59,608","58,365","57,177","58,442","58,880","64,725","699,349",
4451,Grocery stores,"51,635","48,543","52,006","50,268","52,740","51,995","53,016","52,094","51,015","52,241","52,347","55,981","623,881",
44511,Supermarkets and other grocery (except convenience) stores,"49,680","46,590","49,821","48,084","50,386","49,599","50,459","49,640","48,715","49,979","50,200","53,825","596,978",
4453,"Beer, wine, and liquor stores","3,607","3,769","4,045","4,108","4,396","4,468","4,745","4,475","4,431","4,436","4,676","6,057","53,213",
446,Health and personal care stores,"26,095","26,755","28,315","26,924","27,450","27,281","26,408","27,716","26,920","26,373","26,484","30,432","327,153",
44611,Pharmacies and drug stores,"22,157","22,390","23,550","22,650","23,091","22,696","22,157","22,989","22,211","22,096","21,854","24,489","272,330",
447,Gasoline stations,"30,076","28,095","32,564","34,218","37,644","38,861","38,563","37,585","36,768","37,769","34,683","35,966","422,792",
448,Clothing and clothing access. stores,"15,685","18,926","21,477","20,412","21,648","20,157","20,676","22,394","19,816","20,544","23,704","34,611","260,050",
4481,Clothing stores,"11,611","13,170","15,940","15,024","15,721","15,029","15,346","16,171","14,822","15,500","17,727","23,871","189,932",
44811,Men's clothing stores,558,621,706,729,771,718,628,666,681,691,730,995,"8,494",
44812,Women's clothing stores,"2,477","2,939","3,659","3,519","3,606","3,240","3,141","3,388","3,170","3,274","3,718","4,714","40,845",
44814,Family clothing stores,"6,086","6,879","8,494","8,016","8,507","8,230","8,720","8,851","8,101","8,723","9,796","13,452","103,855",
44819,Other clothing stores,"1,247","1,346","1,460","1,355","1,317","1,398","1,320","1,545","1,376","1,293","1,677","2,217","17,551",
4482,Shoe stores,"2,115","2,880","3,169","2,855","2,893","2,724","3,013","3,823","2,737","2,698","3,025","4,233","36,165",
44831,Jewelry stores,"1,775","2,646","2,136","2,285","2,777","2,198","2,096","2,189","2,050","2,131","2,716","6,075","31,074",
451,"Sporting goods, hobby, musical instrument, and book stores","6,459","5,867","6,940","6,518","6,708","7,209","6,911","7,790","6,746","6,309","7,600","11,426","86,483",
45111,Sporting goods stores,"3,059","3,187","4,013","3,732","3,876","4,556","4,242","4,229","3,525","3,336","3,802","5,733","47,290",
45112,"Hobby, toy, and game stores","1,188","1,217","1,370","1,246","1,239","1,184","1,235","1,235","1,311","1,423","2,227","3,422","18,297",
451211,Book stores,"1,427",688,682,672,742,678,654,"1,499","1,040",690,720,"1,249","10,741",
452,General merchandise stores,"49,159","51,088","55,786","53,242","56,046","55,054","55,331","55,909","51,571","55,195","61,014","75,994","675,389",
4521,Department stores,"10,089","10,970","12,450","11,539","12,120","12,160","11,710","12,565","11,278","11,783","14,722","21,185","152,571",
452111,Department stores(excl. discount department stores),"3,262","3,846","4,427","4,208","4,368","4,220","3,981","4,053","4,037","4,059","5,398","8,839","54,698",
452112,Discount dept. stores,"6,827","7,124","8,023","7,331","7,752","7,940","7,729","8,512","7,241","7,724","9,324","12,346","97,873",
4529,Other general merchandise stores,"39,070",40118,43336,"41,703","43,926","42,894","43,621","43,344","40,293","43,412","46,292","54,809","522,818",
45291,Warehouse clubs and superstores,"34,023","34,580","37,226","35,968","37,758","36,815","37,679","37,468","34,506","37,361","39,792","46,750","449,926",
45299,All other gen. merchandise stores,"5,047","5,538","6,110","5,735","6,168","6,079","5,942","5,876","5,787","6,051","6,500","8,059","72,892",
453,Miscellaneous store retailers,"8,416","8,761","9,797","9,870","10,983","10,516","10,143","10,512","10,276","10,629","10,137","11,532","121,572",
4532,"Office supplies, stationery, and gift stores","2,236","2,203","2,331","2,324","2,457","2,327","2,446","2,891","2,544","2,780","2,343","3,362","30,244",
45321,Office supplies and stationery stores,"1,238","1,119","1,147","1,071","1,028",949,989,"1,489","1,203",992,968,"1,125","13,318",
45322,"Gift, novelty, and souvenir stores",998,"1,084","1,184","1,253","1,429","1,378","1,457","1,402","1,341","1,788","1,375","2,237","16,926",
45330,Used merchandise stores,"1,249","1,288","1,398","1,412","1,421","1,376","1,471","1,526","1,505","1,635","1,557","1,518","17,356",
454,Nonstore retailers,"41,372","41,517","45,166","42,936","44,616","44,384","42,580","45,608","44,491","45,377","54,696","68,669","561,412",
4541,Electronic shopping and mail-order houses,"34,622","34,872","38,728","37,143","38,723","38,640","37,441","40,230","38,939","39,486","48,591","61,425","488,840",
45431,Fuel dealers,"3,187","2,972","2,263","1,727","1,486","1,293","1,178","1,292","1,424","1,819","2,139","3,164","23,944",
722,Food services and drinking places,"50,087","51,495","55,878","56,336","57,015","54,609","56,000","55,169","54,270","55,691","53,253","57,425","657,228",
7224,Drinking places,"1,911","1,914","2,092","2,063","2,111","1,975","2,142","2,084","2,151","2,237","2,065","2,194","24,939",
7225,Restaurants and other eating places,"44,115","45,139","49,100","48,893","49,634","47,822","49,313","48,397","46,129","47,710","46,022","50,012","572,286",
722511,Full service restaurants,"22,614","23,107","24,543","24,478","24,535","23,190","23,896","23,300","22,362","23,288","22,359","25,426","283,098",
"722513, 722514, 722515",Limited service eating places,"21,501","22,032","24,557","24,415","25,099","24,632","25,417","25,097","23,767","24,422","23,663","24,586","289,188",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","448,325","452,555","451,132","453,034","454,683","459,088","458,579","459,022","461,893","463,240","462,994","468,076",,
,Retail sales and food services excl motor vehicle and parts,"356,033","358,033","358,537","359,990","361,481","365,359","363,443","363,698","365,702","367,039","367,331","369,673",,
,Retail sales and food services excl gasoline stations,"414,870","420,665","417,937","418,884","419,730","422,972","422,906","424,124","426,126","426,535","426,562","430,057",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"322,578","326,143","325,342","325,840","326,528","329,243","327,770","328,800","329,935","330,334","330,899","331,654",,
,"Retail sales, total","395,210","398,293","397,196","398,813","400,435","404,859","404,315","404,345","406,628","407,991","406,761","412,753",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","302,918","303,771","304,601","305,769","307,233","311,130","309,179","309,021","310,437","311,790","311,098","314,350",,
,GAFO(1),"104,326","105,907","105,025","104,779","104,879","105,637","104,757","105,112","104,572","104,572","103,980","104,436",,
441,Motor vehicle and parts dealers,"92,292","94,522","92,595","93,044","93,202","93,729","95,136","95,324","96,191","96,201","95,663","98,403",,
"4411,4412",Automobile and other motor vehicle dealers,"84,661","86,938","85,102","85,654","85,755","86,196","87,717","87,831","88,760","88,699","88,272","90,456",,
4413,"Automotive parts, acc., and tire stores","7,631","7,584","7,493","7,390","7,447","7,533","7,419","7,493","7,431","7,502","7,391","7,947",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,412","17,566","17,374","17,377","17,450","17,571","17,580","17,656","17,546","17,292","17,073","17,174",,
442,Furniture and home furnishings stores,"9,093","9,134","9,085","9,068","9,116","9,262","9,194","9,172","9,376","9,225","9,186","9,111",,
443,Electronics and appliance stores,"8,319","8,432","8,289","8,309","8,334","8,309","8,386","8,484","8,170","8,067","7,887","8,063",,
444,Building mat. and garden equip. and supplies dealers,"28,977","29,020","29,733","28,772","28,350","29,117","28,866","28,796","28,963","29,103","29,337","29,306",,
4441,Building mat. and supplies dealers,"25,179","25,289","25,625","24,961","24,676","25,286","25,211","25,153","25,253","25,521","25,833","25,775",,
445,Food and beverage stores,"57,526","57,553","57,040","57,674","57,962","58,285","57,967","58,172","58,480","58,803","58,843","58,842",,
4451,Grocery stores,"51,481","51,314","50,886","51,504","51,706","51,995","51,673","51,886","52,109","52,451","52,452","52,564",,
4453,"Beer, wine and liquor stores","4,229","4,347","4,303","4,338","4,392","4,433","4,443","4,453","4,535","4,513","4,558","4,402",,
446,Health and personal care stores,"26,819","27,357","27,226","27,445","27,368","27,557","27,508","27,414","27,413","26,559","26,806","26,931",,
44611,Pharmacies and drug stores,"22,403","22,824","22,776","22,995","22,885","22,948","23,008","22,761","22,804","22,008","22,164","22,243",,
447,Gasoline stations,"33,455","31,890","33,195","34,150","34,953","36,116","35,673","34,898","35,767","36,705","36,432","38,019",,
448,Clothing and clothing access. stores,"21,211","21,864","21,413","21,327","21,489","21,585","21,346","21,716","21,792","21,617","21,516","21,826",,
4481,Clothing stores,"15,527","15,910","15,626","15,569","15,640","15,806","15,641","15,933","15,996","15,849","15,660","15,949",,
44811,Men's clothing stores,712,730,715,702,714,721,703,714,695,689,695,701,,
44812,Women's clothing stores,"3,426","3,503","3,462","3,403","3,386","3,407","3,338","3,478","3,376","3,317","3,347","3,331",,
4482,Shoe stores,"2,942","3,107","2,953","2,937","2,989","3,010","2,974","3,029","3,028","2,998","2,998","3,024",,
44831,Jewelry stores,"2,536","2,594","2,577","2,562","2,620","2,535","2,501","2,516","2,534","2,528","2,614","2,619",,
451,"Sporting goods, hobby, musical instrument, and book stores","7,348","7,325","7,298","7,226","7,275","7,557","7,206","7,037","7,056","7,081","6,960","7,084",,
452,General merchandise stores,"55,778","56,611","56,397","56,253","56,091","56,405","56,153","56,211","55,716","56,130","55,993","55,859",,
4521,Department stores,"13,173","13,167","13,075","12,820","12,652","12,912","12,685","12,716","12,620","12,476","12,250","12,206",,
4529,Other general merchandise stores,"42,605","43,444","43,322","43,433","43,439","43,493","43,468","43,495","43,096","43,654","43,743","43,653",,
45291,Warehouse clubs and superstores,"36,702","37,424","37,338","37,428","37,421","37,414","37,380","37,393","37,024","37,511","37,611","37,520",,
45299,All other gen. merchandise stores,"5,903","6,020","5,984","6,005","6,018","6,079","6,088","6,102","6,072","6,143","6,132","6,133",,
453,Miscellaneous stores retailers,"9,876","9,839","10,080","10,222","10,068","10,131","10,097","10,003","10,270","10,425","10,039","10,196",,
