NAICS  Code,Kind of Business,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","458,089","443,708","515,694","509,413","547,130","518,273","532,103","545,247","496,074","525,539","535,352","591,380","6,218,002",
,Retail sales and food services excl motor vehicle and parts,"370,975","354,699","405,849","406,257","435,358","413,530","422,834","430,588","396,537","421,738","434,251","487,917","4,980,533",
,Retail sales and food services excl gasoline stations,"422,675","409,159","474,734","466,269","500,912","474,450","486,653","500,204","454,138","481,937","494,622","551,177","5,716,930",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"335,561","320,150","364,889","363,113","389,140","369,707","377,384","385,545","354,601","378,136","393,521","447,714","4,479,461",
,"Retail sales, total","401,341","386,840","449,507","445,959","479,466","452,242","466,160","477,537","433,299","460,534","473,026","526,295","5,452,206",
,"Retail sales, total (excl. motor vehicle and parts dealers)","314,227","297,831","339,662","342,803","367,694","347,499","356,891","362,878","333,762","356,733","371,925","422,832","4,214,737",
,GAFO(1),"91,738","91,033","106,558","102,862","110,244","105,686","106,940","113,908","100,089","106,593","121,326","147,511","1,304,488",
441,Motor vehicle and parts dealers,"87,114","89,009","109,845","103,156","111,772","104,743","109,269","114,659","99,537","103,801","101,101","103,463","1,237,469",
"4411,4412",Automobile and other motor vehicle dealers,"80,026","82,022","101,593","95,035","103,357","96,728","100,916","106,073","91,783","95,254","93,242","96,073","1,142,102",
4411,Automobile dealers,"75,271","76,634","93,879","86,774","94,030","87,931","92,447","98,149","85,390","89,148","87,851","91,114","1,058,618",
44111,New car dealers,"66,443","66,959","82,023","76,429","83,481","77,853","82,192","87,792","75,986","79,452","78,496","82,445","939,551",
44112,Used car dealers,"8,828","9,675","11,856","10,345","10,549","10,078","10,255","10,357","9,404","9,696","9,355","8,669","119,067",
4413,"Automotive parts, acc., and tire stores","7,088","6,987","8,252","8,121","8,415","8,015","8,353","8,586","7,754","8,547","7,859","7,390","95,367",
"442,443","Furniture, home furn, electronics, and appliance stores","16,314","15,425","17,521","16,260","17,643","17,020","17,613","18,383","17,477","17,599","20,767","22,810","214,832",
442,Furniture and home furnishings stores,"8,648","8,445","9,846","9,360","10,069","9,539","9,944","10,345","9,839","9,995","10,782","11,003","117,815",
4421,Furniture stores,"4,454","4,428","5,325","4,863","5,342","5,098","5,259","5,452","5,363","5,186","5,523","5,163","61,456",
4422,Home furnishings stores,"4,194","4,017","4,521","4,497","4,727","4,441","4,685","4,893","4,476","4,809","5,259","5,840","56,359",
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,"2,253","2,094","2,360","2,280","2,460","2,190","2,422","2,527","2,271","2,448","3,068","3,803","30,176",
443,Electronics and appliance stores,"7,666","6,980","7,675","6,900","7,574","7,481","7,669","8,038","7,638","7,604","9,985","11,807","97,017",
443141,Household appliance stores,"1,161","1,137","1,287","1,262","1,414","1,342","1,461","1,405","1,307","1,356","1,455","1,383","15,970",
443142,Electronics stores,"6,505","5,843","6,388","5,638","6,160","6,139","6,208","6,633","6,331","6,248","8,530","10,424","81,047",
444,Building mat. and garden equip. and supplies dealers,"27,578","24,888","30,900","35,122","38,372","34,575","34,755","33,434","30,948","33,719","30,731","29,493","384,515",
4441,Building mat. and supplies dealers,"24,258","21,800","26,709","30,152","33,158","30,187","30,901","29,887","27,570","29,701","27,087","25,787","337,197",
44412,Paint and wallpaper stores,910,854,"1,022",970,"1,175","1,153","1,223","1,230","1,122","1,132",916,808,"12,515",
44413,Hardware stores,"1,974","1,802","2,202","2,358","2,635","2,401","2,346","2,338","2,143","2,357","2,156","2,158","26,870",
445,Food and beverage stores,"62,320","56,383","62,935","61,781","65,842","63,795","65,690","66,165","61,668","64,051","65,442","68,992","765,064",
4451,Grocery stores,"56,547","50,662","56,503","55,315","58,830","56,948","58,557","59,028","55,217","57,258","58,185","59,812","682,862",
44511,Supermarkets and other grocery (except convenience) stores,"54,271","48,448","53,946","52,704","55,962","54,137","55,659","56,125","52,480","54,493","55,557","57,185","650,967",
4453,"Beer, wine, and liquor stores","4,134","4,116","4,673","4,580","5,109","5,011","5,245","5,270","4,680","4,913","5,312","6,630","59,673",
446,Health and personal care stores,"29,640","27,825","29,997","29,671","30,847","28,966","29,508","29,973","28,706","31,088","29,312","33,194","358,727",
44611,Pharmacies and drug stores,"25,037","23,240","24,577","24,806","25,717","23,745","24,531","24,710","23,630","26,097","23,964","26,509","296,563",
447,Gasoline stations,"35,414","34,549","40,960","43,144","46,218","43,823","45,450","45,043","41,936","43,602","40,730","40,203","501,072",
448,Clothing and clothing access. stores,"16,201","17,932","21,953","21,416","22,938","20,960","21,650","23,743","19,464","21,177","24,928","34,541","266,903",
4481,Clothing stores,"11,856","12,317","15,973","15,579","16,504","15,410","15,666","16,708","14,157","15,773","18,592","23,598","192,133",
44811,Men's clothing stores,585,514,642,737,747,645,581,617,662,674,714,863,"7,981",
44812,Women's clothing stores,"2,511","2,680","3,585","3,604","3,807","3,272","3,261","3,325","3,080","3,390","3,850","4,496","40,861",
44814,Family clothing stores,"6,649","6,932","9,070","8,770","9,403","9,016","9,264","10,067","8,219","9,359","11,269","14,517","112,535",
44819,Other clothing stores,"1,113","1,138","1,356","1,189","1,283","1,374","1,343","1,352","1,124","1,176","1,413","1,920","15,781",
4482,Shoe stores,"2,360","2,925","3,552","3,243","3,254","3,008","3,361","4,280","2,762","2,851","3,265","4,296","39,157",
44831,Jewelry stores,"1,773","2,464","2,178","2,351","2,866","2,260","2,367","2,480","2,293","2,313","2,761","6,113","32,219",
451,"Sporting goods, hobby, musical instrument, and book stores","5,628","5,221","6,305","6,191","6,445","6,585","6,549","7,504","6,276","6,372","7,289","9,506","79,871",
45111,Sporting goods stores,"2,696","2,780","3,571","3,535","3,671","3,994","3,959","4,183","3,276","3,376","3,660","5,107","43,808",
45112,"Hobby, toy, and game stores","1,116","1,073","1,247","1,141","1,216","1,154","1,160","1,248","1,232","1,382","2,027","2,265","16,261",
451211,Book stores,"1,004",569,587,631,675,594,572,"1,088",842,627,618,"1,037","8,844",
452,General merchandise stores,"51,557","50,513","58,619","56,815","60,695","58,727","58,487","61,460","54,515","58,560","66,027","77,648","713,623",
4521,Department stores,"8,657","9,142","10,645","10,456","11,299","10,625","10,630","11,550","9,762","10,456","13,401","18,403","135,026",
452111,Department stores(excl. discount department stores),"2,464","2,803","3,263","3,285","3,488","3,199","3,130","3,253","3,045","3,109","4,390","6,561","41,990",
452112,Discount dept. stores,"6,193","6,339","7,382","7,171","7,811","7,426","7,500","8,297","6,717","7,347","9,011","11,842","93,036",
4529,Other general merchandise stores,"42,900",41371,47974,"46,359","49,396","48,102","47,857","49,910","44,753","48,104","52,626","59,245","578,597",
45291,Warehouse clubs and superstores,"36,861","35,460","41,241","39,548","42,167","41,281","41,138","43,098","38,367","41,175","45,257","50,606","496,199",
45299,All other gen. merchandise stores,"6,039","5,911","6,733","6,811","7,229","6,821","6,719","6,812","6,386","6,929","7,369","8,639","82,398",
453,Miscellaneous store retailers,"9,312","9,116","10,236","10,736","12,563","11,468","11,545","11,998","11,011","12,228","11,882","12,525","134,620",
4532,"Office supplies, stationery, and gift stores","2,038","1,942","2,160","2,180","2,523","2,394","2,641","2,818","2,357","2,885","2,315","3,006","29,259",
45321,Office supplies and stationery stores,"1,030",846,904,864,854,779,922,"1,278",905,843,786,924,"10,935",
45322,"Gift, novelty, and souvenir stores","1,008","1,096","1,256","1,316","1,669","1,615","1,719","1,540","1,452","2,042","1,529","2,082","18,324",
45330,Used merchandise stores,"1,415","1,378","1,557","1,616","1,466","1,426","1,461","1,631","1,553","1,822","1,601","1,486","18,412",
454,Nonstore retailers,"60,263","55,979","60,236","61,667","66,131","61,580","65,644","65,175","61,761","68,337","74,817","93,920","795,510",
4541,Electronic shopping and mail-order houses,"51,647","48,295","52,458","54,612","58,855","54,928","58,814","58,181","54,922","60,568","67,037","85,217","705,534",
45431,Fuel dealers,"3,896","3,320","3,101","2,155","1,804","1,464","1,521","1,597","1,666","2,176","2,746","3,346","28,792",
722,Food services and drinking places,"56,748","56,868","66,187","63,454","67,664","66,031","65,943","67,710","62,775","65,005","62,326","65,085","765,796",
7224,Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
7225,Restaurants and other eating places,"49,940","49,623","57,793","55,206","59,164","58,310","58,679","59,318","53,944","55,762","54,039","57,086","668,864",
722511,Full service restaurants,"23,925","23,875","27,197","25,637","27,995","27,419","27,305","27,760","24,988","25,802","25,405","27,797","315,105",
"722513, 722514, 722515",Limited service eating places,"26,015","25,748","30,596","29,569","31,169","30,891","31,374","31,558","28,956","29,960","28,634","29,289","353,759",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","505,036","504,686","512,602","515,088","516,965","519,205","522,198","524,547","522,261","524,853","525,014","525,467",,
,Retail sales and food services excl motor vehicle and parts,"405,981","405,329","409,909","413,009","414,355","416,150","418,979","419,414","418,326","419,934","418,510","420,630",,
,Retail sales and food services excl gasoline stations,"466,205","464,040","470,505","472,159","474,485","477,627","479,997","482,956","480,863","482,807","482,719","482,652",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"367,150","364,683","367,812","370,080","371,875","374,572","376,778","377,823","376,928","377,888","376,215","377,815",,
,"Retail sales, total","443,420","442,467","449,925","452,012","453,251","454,847","457,485","459,938","457,277","459,978","460,760","460,512",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","344,365","343,110","347,232","349,933","350,641","351,792","354,266","354,805","353,342","355,059","354,256","355,675",,
,GAFO(1),"107,737","107,246","108,742","108,962","108,747","109,079","109,658","109,159","109,049","109,045","108,534","109,138",,
441,Motor vehicle and parts dealers,"99,055","99,357","102,693","102,079","102,610","103,055","103,219","105,133","103,935","104,919","106,504","104,837",,
"4411,4412",Automobile and other motor vehicle dealers,"91,458","91,542","94,681","94,094","94,649","95,111","95,294","97,048","96,007","96,901","98,460","96,848",,
4413,"Automotive parts, acc., and tire stores","7,597","7,815","8,012","7,985","7,961","7,944","7,925","8,085","7,928","8,018","8,044","7,989",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,682","17,683","17,892","17,895","17,944","17,924","17,988","17,984","18,133","18,005","17,996","17,844",,
442,Furniture and home furnishings stores,"9,535","9,651","9,787","9,853","9,843","9,854","9,855","9,881","9,999","9,916","9,937","9,746",,
443,Electronics and appliance stores,"8,147","8,032","8,105","8,042","8,101","8,070","8,133","8,103","8,134","8,089","8,059","8,098",,
444,Building mat. and garden equip. and supplies dealers,"33,530","31,585","31,654","31,750","31,204","31,415","31,779","32,617","32,159","32,177","32,308","32,807",,
4441,Building mat. and supplies dealers,"29,156","27,595","27,678","27,996","27,794","27,593","27,789","28,627","28,133","28,073","28,186","28,748",,
445,Food and beverage stores,"63,462","62,025","63,158","63,326","63,408","63,862","64,586","64,603","64,095","64,073","64,354","64,522",,
4451,Grocery stores,"56,660","55,248","56,334","56,502","56,622","57,005","57,692","57,701","57,220","57,201","57,438","57,622",,
4453,"Beer, wine and liquor stores","4,898","4,906","4,945","4,925","4,922","4,976","4,995","5,024","5,005","4,983","5,040","5,065",,
446,Health and personal care stores,"29,699","29,887","29,907","29,820","30,065","30,017","29,897","29,824","29,933","30,241","29,819","29,770",,
44611,Pharmacies and drug stores,"24,594","24,776","24,775","24,732","24,871","24,786","24,704","24,685","24,718","25,021","24,503","24,500",,
447,Gasoline stations,"38,831","40,646","42,097","42,929","42,480","41,578","42,201","41,591","41,398","42,046","42,295","42,815",,
448,Clothing and clothing access. stores,"22,068","21,970","22,338","22,245","22,148","22,247","22,407","22,276","22,246","22,154","22,021","22,644",,
4481,Clothing stores,"15,903","15,738","16,054","15,993","15,955","16,030","16,091","15,956","15,882","16,002","15,966","16,395",,
44811,Men's clothing stores,716,649,667,675,665,652,667,657,668,666,662,656,,
44812,Women's clothing stores,"3,444","3,363","3,474","3,426","3,458","3,419","3,444","3,379","3,392","3,376","3,365","3,365",,
4482,Shoe stores,"3,329","3,362","3,376","3,313","3,280","3,287","3,302","3,270","3,215","3,164","3,133","3,180",,
44831,Jewelry stores,"2,581","2,618","2,646","2,675","2,641","2,634","2,736","2,759","2,852","2,702","2,617","2,751",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,514","6,576","6,588","6,671","6,610","6,761","6,703","6,694","6,748","6,764","6,526","6,652",,
452,General merchandise stores,"59,079","58,594","59,467","59,703","59,542","59,602","60,043","59,769","59,507","59,716","59,610","59,643",,
4521,Department stores,"11,441","11,490","11,438","11,478","11,412","11,334","11,443","11,267","11,132","11,139","11,101","11,002",,
4529,Other general merchandise stores,"47,638","47,104","48,029","48,225","48,130","48,268","48,600","48,502","48,375","48,577","48,509","48,641",,
45291,Warehouse clubs and superstores,"40,775","40,387","41,159","41,282","41,219","41,364","41,680","41,600","41,523","41,717","41,635","41,823",,
45299,All other gen. merchandise stores,"6,863","6,717","6,870","6,943","6,911","6,904","6,920","6,902","6,852","6,860","6,874","6,818",,
453,Miscellaneous stores retailers,"10,616","10,650","10,825","11,083","11,161","11,266","11,239","11,482","11,435","11,576","11,652","11,485",,
454,Nonstore retailers,"62,884","63,494","63,306","64,511","66,079","67,120","67,423","67,965","67,688","68,307","67,675","67,493",,
4541,Electronic shopping and mail order houses,"55,475","56,222","55,985","57,185","58,738","59,510","59,770","60,229","60,090","60,750","60,069","60,012",,
45431,Fuel dealers,"2,398","2,434","2,544","2,460","2,389","2,448","2,422","2,398","2,314","2,291","2,490","2,265",,
722,Food services and drinking places,"61,616","62,219","62,677","63,076","63,714","64,358","64,713","64,609","64,984","64,875","64,254","64,955",,
 ,,,,,,,,,,,,,,,
