NAICS  Code,Kind of Business,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","444,701","436,018","509,325","481,516","529,261","508,292","506,514","521,962","478,595","505,194","520,956","559,289","6,001,623",
,Retail sales and food services excl motor vehicle and parts,"357,653","347,476","400,975","383,268","421,322","404,591","403,834","414,771","383,620","407,148","426,577","459,067","4,810,302",
,Retail sales and food services excl gasoline stations,"407,162","400,464","468,653","440,464","483,501","463,164","461,012","475,672","435,573","459,595","480,203","522,235","5,497,698",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"320,114","311,922","360,303","342,216","375,562","359,463","358,332","368,481","340,598","361,549","385,824","422,013","4,306,377",
,"Retail sales, total","390,170","381,258","445,835","421,257","465,223","444,720","442,975","457,386","418,629","443,581","461,965","496,469","5,269,468",
,"Retail sales, total (excl. motor vehicle and parts dealers)","303,122","292,716","337,485","323,009","357,284","341,019","340,295","350,195","323,654","345,535","367,586","396,247","4,078,147",
,GAFO(1),"90,813","92,780","108,698","99,156","110,841","106,233","105,545","112,062","100,721","105,660","122,523","147,140","1,302,172",
441,Motor vehicle and parts dealers,"87,048","88,542","108,350","98,248","107,939","103,701","102,680","107,191","94,975","98,046","94,379","100,222","1,191,321",
"4411,4412",Automobile and other motor vehicle dealers,"80,062","81,765","100,330","90,756","99,850","95,786","94,748","98,950","87,449","89,857","86,713","93,185","1,099,451",
4411,Automobile dealers,"75,875","76,724","93,316","83,245","91,475","87,380","87,371","91,578","81,457","84,237","81,684","88,553","1,022,895",
44111,New car dealers,"67,039","66,801","82,057","73,702","81,379","77,603","77,583","81,497","72,506","75,133","73,028","80,177","908,505",
44112,Used car dealers,"8,836","9,923","11,259","9,543","10,096","9,777","9,788","10,081","8,951","9,104","8,656","8,376","114,390",
4413,"Automotive parts, acc., and tire stores","6,986","6,777","8,020","7,492","8,089","7,915","7,932","8,241","7,526","8,189","7,666","7,037","91,870",
"442,443","Furniture, home furn, electronics, and appliance stores","16,467","15,935","18,084","16,467","17,799","17,713","17,563","18,545","17,312","17,548","20,868","22,799","217,100",
442,Furniture and home furnishings stores,"8,686","8,504","10,016","9,205","9,949","9,751","9,740","10,209","9,573","9,758","10,579","10,925","116,895",
4421,Furniture stores,"4,597","4,677","5,524","4,890","5,254","5,269","5,159","5,396","5,225","5,027","5,314","5,229","61,561",
4422,Home furnishings stores,"4,089","3,827","4,492","4,315","4,695","4,482","4,581","4,813","4,348","4,731","5,265","5,696","55,334",
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,"2,272","2,029","2,383","2,201","2,412","2,239","2,362","2,528","2,268","2,417","3,151","3,815","30,077",
443,Electronics and appliance stores,"7,781","7,431","8,068","7,262","7,850","7,962","7,823","8,336","7,739","7,790","10,289","11,874","100,205",
443141,Household appliance stores,"1,199","1,192","1,382","1,283","1,464","1,443","1,424","1,475","1,303","1,370","1,487","1,355","16,377",
443142,Electronics stores,"6,582","6,239","6,686","5,979","6,386","6,519","6,399","6,861","6,436","6,420","8,802","10,519","83,828",
444,Building mat. and garden equip. and supplies dealers,"24,612","24,579","31,074","33,446","39,555","36,422","34,473","33,371","30,494","33,769","31,017","28,501","381,313",
4441,Building mat. and supplies dealers,"22,017","21,676","26,774","28,557","33,656","31,797","30,837","29,775","27,037","29,637","27,399","24,803","333,965",
44412,Paint and wallpaper stores,825,844,"1,022","1,044","1,183","1,204","1,177","1,223","1,060","1,160",944,819,"12,505",
44413,Hardware stores,"1,868","1,766","2,247","2,290","2,640","2,417","2,271","2,281","2,091","2,289","2,164","2,152","26,476",
445,Food and beverage stores,"60,093","56,201","63,479","59,295","64,229","62,469","63,083","63,306","60,841","62,150","63,097","67,493","745,736",
4451,Grocery stores,"54,471","50,561","56,897","53,212","57,377","55,626","56,217","56,496","54,381","55,444","55,933","58,482","665,097",
44511,Supermarkets and other grocery (except convenience) stores,"52,192","48,294","54,288","50,548","54,619","52,861","53,452","53,711","51,770","52,792","53,441","56,019","633,987",
4453,"Beer, wine, and liquor stores","3,991","3,992","4,670","4,362","4,950","4,990","5,011","4,945","4,650","4,789","5,176","6,442","57,968",
446,Health and personal care stores,"28,429","26,317","29,187","27,839","29,709","28,388","28,235","29,750","27,689","30,343","29,743","31,825","347,454",
44611,Pharmacies and drug stores,"24,280","22,007","24,075","23,242","24,848","23,329","23,581","24,762","22,930","25,608","24,553","25,631","288,846",
447,Gasoline stations,"37,539","35,554","40,672","41,052","45,760","45,128","45,502","46,290","43,022","45,599","40,753","37,054","503,925",
448,Clothing and clothing access. stores,"15,815","18,481","22,344","20,503","23,631","21,354","21,754","23,209","19,958","21,337","25,652","34,125","268,163",
4481,Clothing stores,"11,668","12,961","16,511","14,996","17,184","15,713","15,970","16,668","14,786","15,853","19,130","23,283","194,723",
