NAICS  Code,Kind of Business,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,TOTAL,
44811,Men's clothing stores,528,556,689,737,775,696,588,637,691,679,742,890,"8,208",
44812,Women's clothing stores,"2,391","2,721","3,545","3,429","3,805","3,298","3,208","3,373","3,178","3,521","4,157","4,547","41,173",
44814,Family clothing stores,"6,361","7,104","9,138","8,112","9,597","8,802","9,163","9,552","8,294","9,022","10,967","13,674","109,786",
44819,Other clothing stores,"1,220","1,254","1,476","1,278","1,441","1,569","1,614","1,607","1,299","1,276","1,621","2,117","17,772",
4482,Shoe stores,"2,075","2,699","3,270","2,896","3,164","2,913","3,249","3,924","2,833","2,953","3,518","4,570","38,064",
44831,Jewelry stores,"1,873","2,601","2,321","2,375","3,004","2,487","2,301","2,388","2,125","2,315","2,744","5,836","32,370",
451,"Sporting goods, hobby, musical instrument, and book stores","6,000","5,693","7,065","6,328","6,782","6,800","6,358","7,352","6,100","6,050","7,300","9,351","81,179",
45111,Sporting goods stores,"2,770","3,026","3,789","3,533","3,781","4,058","3,844","4,064","3,129","3,198","3,677","4,988","43,857",
45112,"Hobby, toy, and game stores","1,180","1,222","1,708","1,344","1,428","1,249","1,039","1,091","1,172","1,274","1,990","2,135","16,832",
451211,Book stores,"1,217",641,659,631,699,638,611,"1,226",869,639,665,"1,122","9,617",
452,General merchandise stores,"50,450","50,670","58,974","53,747","60,250","58,050","57,346","60,048","54,906","57,721","66,253","77,883","706,298",
4521,Department stores,"9,025","9,587","11,400","10,514","11,976","11,129","10,948","12,047","10,351","10,979","14,546","19,076","141,578",
452111,Department stores(excl. discount department stores),"2,714","3,127","3,743","3,646","3,985","3,529","3,379","3,535","3,289","3,432","4,991","6,558","45,928",
452112,Discount dept. stores,"6,311","6,460","7,657","6,868","7,991","7,600","7,569","8,512","7,062","7,547","9,555","12,518","95,650",
4529,Other general merchandise stores,"41,425",41083,47574,"43,233","48,274","46,921","46,398","48,001","44,555","46,742","51,707","58,807","564,720",
45291,Warehouse clubs and superstores,"35,728","35,262","40,879","37,043","41,217","40,354","39,939","41,389","38,162","39,964","44,019","50,109","484,065",
45299,All other gen. merchandise stores,"5,697","5,821","6,695","6,190","7,057","6,567","6,459","6,612","6,393","6,778","7,688","8,698","80,655",
453,Miscellaneous store retailers,"9,588","9,380","10,493","10,234","12,217","11,283","10,651","11,337","10,329","11,573","11,287","11,758","130,130",
4532,"Office supplies, stationery, and gift stores","2,081","2,001","2,231","2,111","2,379","2,316","2,524","2,908","2,445","3,004","2,450","2,982","29,432",
45321,Office supplies and stationery stores,"1,082",902,968,874,890,825,951,"1,385",965,880,890,994,"11,606",
45322,"Gift, novelty, and souvenir stores",999,"1,099","1,263","1,237","1,489","1,491","1,573","1,523","1,480","2,124","1,560","1,988","17,826",
45330,Used merchandise stores,"1,439","1,496","1,692","1,555","1,626","1,535","1,442","1,604","1,471","1,666","1,641","1,641","18,808",
454,Nonstore retailers,"54,129","49,906","56,113","54,098","57,352","53,412","55,330","56,987","53,003","59,445","71,616","75,458","696,849",
4541,Electronic shopping and mail-order houses,"45,236","42,653","48,414","47,141","50,407","47,380","49,349","50,735","47,028","52,236","63,881","67,283","611,743",
45431,Fuel dealers,"4,977","3,258","3,069","2,413","1,889","1,545","1,606","1,729","1,732","2,499","2,936","3,392","31,045",
722,Food services and drinking places,"54,531","54,760","63,490","60,259","64,038","63,572","63,539","64,576","59,966","61,613","58,991","62,820","732,155",
7224,Drinking places,"2,160","2,136",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
7225,Restaurants and other eating places,"47,797","47,540","55,328","52,271","55,993","56,191","56,477","56,692","51,571","52,993","51,060","55,178","639,091",
722511,Full service restaurants,"23,746","23,700","27,357","25,609","27,405","27,383","27,218","27,338","24,652","25,184","24,306","27,585","311,483",
"722513, 722514, 722515",Limited service eating places,"24,051","23,840","27,971","26,662","28,588","28,808","29,259","29,354","26,919","27,809","26,754","27,593","327,608",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","492,600","494,815","494,747","495,967","502,351","501,133","503,834","502,875","502,407","508,036","508,471","497,541",,
,Retail sales and food services excl motor vehicle and parts,"393,452","396,519","395,986","396,827","402,677","401,575","404,130","404,678","403,831","408,396","408,691","396,539",,
,Retail sales and food services excl gasoline stations,"451,212","452,937","453,329","454,791","460,176","458,878","461,388","460,014","459,937","463,936","466,284","458,122",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"352,064","354,641","354,568","355,651","360,502","359,320","361,684","361,817","361,361","364,296","366,504","357,120",,
,"Retail sales, total","433,198","435,033","434,510","436,423","441,536","439,651","441,541","440,241","441,029","446,238","446,894","435,953",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","334,050","336,737","335,749","337,283","341,862","340,093","341,837","342,044","342,453","346,598","347,114","334,951",,
,GAFO(1),"107,581","108,743","107,670","108,175","110,617","108,764","109,058","108,612","108,307","109,104","109,710","107,798",,
441,Motor vehicle and parts dealers,"99,148","98,296","98,761","99,140","99,674","99,558","99,704","98,197","98,576","99,640","99,780","101,002",,
"4411,4412",Automobile and other motor vehicle dealers,"91,604","90,749","91,209","91,580","92,028","91,925","91,988","90,531","90,809","91,878","92,052","93,278",,
4413,"Automotive parts, acc., and tire stores","7,544","7,547","7,552","7,560","7,646","7,633","7,716","7,666","7,767","7,762","7,728","7,724",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,977","18,169","18,157","18,474","18,243","18,289","18,233","18,152","17,997","18,053","17,957","17,793",,
442,Furniture and home furnishings stores,"9,619","9,686","9,753","9,941","9,802","9,810","9,848","9,732","9,729","9,739","9,706","9,660",,
443,Electronics and appliance stores,"8,358","8,483","8,404","8,533","8,441","8,479","8,385","8,420","8,268","8,314","8,251","8,133",,
444,Building mat. and garden equip. and supplies dealers,"30,524","31,333","30,901","30,952","31,793","32,290","32,292","32,056","32,202","32,791","32,004","32,018",,
4441,Building mat. and supplies dealers,"26,817","27,473","27,072","27,301","27,977","28,390","28,395","27,984","28,047","28,334","27,930","27,994",,
445,Food and beverage stores,"61,661","61,747","61,934","62,231","62,214","62,042","62,436","62,229","62,454","62,660","62,629","62,245",,
4451,Grocery stores,"55,021","55,077","55,240","55,545","55,490","55,349","55,716","55,552","55,661","55,835","55,821","55,486",,
4453,"Beer, wine and liquor stores","4,757","4,758","4,805","4,815","4,843","4,817","4,842","4,801","4,874","4,877","4,906","4,903",,
446,Health and personal care stores,"28,429","28,207","28,392","28,612","29,069","28,850","29,078","29,310","29,239","29,517","29,923","28,801",,
44611,Pharmacies and drug stores,"23,804","23,437","23,603","23,765","24,124","23,829","24,186","24,468","24,342","24,552","24,801","23,910",,
447,Gasoline stations,"41,388","41,878","41,418","41,176","42,175","42,255","42,446","42,861","42,470","44,100","42,187","39,419",,
448,Clothing and clothing access. stores,"21,867","22,426","21,863","22,103","22,966","22,441","22,686","22,168","22,269","22,643","22,758","22,223",,
4481,Clothing stores,"15,927","16,392","15,880","15,992","16,727","16,216","16,467","16,174","16,186","16,352","16,488","16,030",,
44811,Men's clothing stores,666,691,682,709,694,695,675,681,692,684,693,663,,
44812,Women's clothing stores,"3,325","3,380","3,313","3,395","3,504","3,390","3,420","3,438","3,458","3,542","3,653","3,366",,
4482,Shoe stores,"2,986","3,057","2,975","3,081","3,209","3,163","3,230","3,042","3,201","3,337","3,392","3,343",,
44831,Jewelry stores,"2,714","2,732","2,757","2,775","2,781","2,807","2,736","2,704","2,633","2,701","2,623","2,596",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,936","7,179","7,254","7,126","7,139","6,862","6,658","6,600","6,482","6,491","6,559","6,449",,
452,General merchandise stores,"58,355","58,496","57,948","58,039","59,866","58,742","59,008","59,211","59,047","59,386","59,945","58,988",,
4521,Department stores,"12,025","12,030","11,431","12,137","12,304","11,849","11,932","11,834","11,648","11,795","11,809","11,412",,
4529,Other general merchandise stores,"46,330","46,466","46,517","45,902","47,562","46,893","47,076","47,377","47,399","47,591","48,136","47,576",,
45291,Warehouse clubs and superstores,"39,698","39,889","39,960","39,366","40,809","40,273","40,424","40,657","40,598","40,738","41,024","40,706",,
45299,All other gen. merchandise stores,"6,632","6,577","6,557","6,536","6,753","6,620","6,652","6,720","6,801","6,853","7,112","6,870",,
453,Miscellaneous stores retailers,"11,002","10,943","10,835","10,766","10,910","10,834","10,555","10,763","10,749","10,990","10,979","10,866",,
454,Nonstore retailers,"55,911","56,359","57,047","57,804","57,487","57,488","58,445","58,694","59,544","59,967","62,173","56,149",,
4541,Electronic shopping and mail order houses,"48,641","49,539","50,066","50,472","50,357","50,620","51,405","51,770","52,604","52,817","54,881","49,004",,
45431,Fuel dealers,"3,055","2,371","2,392","2,723","2,567","2,516","2,607","2,550","2,543","2,647","2,531","2,367",,
722,Food services and drinking places,"59,402","59,782","60,237","59,544","60,815","61,482","62,293","62,634","61,378","61,798","61,577","61,588",,
 ,,,,,,,,,,,,,,,
